Title,Channel,Date,Description
<a href=https://www.youtube.com/watch?v=mAQ0YtW8BAI>What is ESG Investing | Intro to ESG Course (Part 1 of 7)</a>,Corporate Finance Institute,2021-04-14T17:00:14Z,Introduction to ESG - FREE | Corporate Finance Institute® View full playlist: ...
<a href=https://www.youtube.com/watch?v=_8MsC7PFCv4>ESG investing doesn&#39;t work: Former BlackRock CIO</a>,CNBC Television,2021-11-17T18:03:35Z,"Tariq Fancy, The Rumie Initiative founder and CEO and former BlackRock chief investment officer, joins 'Power Lunch' to discuss ..."
<a href=https://www.youtube.com/watch?v=VXYo4Vg4CLo>The rise of ESG investing</a>,CNBC Television,2021-09-03T23:31:30Z,"Megan Starr, The Garlyle Group, joins Fast Money Special Edition to discuss what to make of the ESG trend. For access to live ..."
<a href=https://www.youtube.com/watch?v=3qGLLA8HNP8>Fmr. BlackRock executive: ESG investing doesn&#39;t have any social impact</a>,CNBC Television,2021-03-16T20:07:31Z,"Tariq Fancy, former BlackRock CIO of sustainable investing, wrote an op-ed stating that ""the financial services industry is duping ..."
<a href=https://www.youtube.com/watch?v=F2ZljlktSQA>ESG Investing Session One - Richard Portes and Alex Edmans</a>,London Business School,2021-03-26T16:26:33Z,"ESG investing: does it work and how to do it – Alex Edmans, Professor of Finance and Academic Director, Centre for Corporate ..."
<a href=https://www.youtube.com/watch?v=YpTuOBc5K7c>ESG Investing Explained: What EVERY INVESTOR Should Know</a>,Katie Lynne Ackermann,2021-08-23T23:58:10Z,"ESG Investing (Environmental, Social, Governance) is a corporate buzzword shaking up Wall Street and financial institutions ..."
<a href=https://www.youtube.com/watch?v=xo4AJsBoPpM>What is ESG investing &amp; how to get started | Sustainability</a>,Sustainability Illustrated,2021-06-25T14:00:21Z,"In this whiteboard animation, I explain what is ESG investing, how ESG ratings work (using MSCI ESG rating), which sustainable ..."
<a href=https://www.youtube.com/watch?v=fGewVZuUFn0>ESG Investing: A Viable Investment Strategy for the Long-term?</a>,Columbia Business School,2021-03-01T16:34:33Z,"Can ESG investing be a market solution for society's most pressing challenges? Global Sustainable Funds exceeded $1 trillion, ..."
<a href=https://www.youtube.com/watch?v=4c6PUsI_108>ESG Investing Career Paths</a>,Columbia Business School,2022-01-27T19:20:38Z,"Investing with ESG – environmental, social, and governance considerations – is a core trend in institutional investing."
<a href=https://www.youtube.com/watch?v=PiSNENSMrNY>The Hypocrisy of ESG Investing | Tariq Fancy | Zer0es TV</a>,Real Vision Finance,2021-07-02T17:00:29Z,"In this episode, Carson Block sits down with Tariq Fancy, the former CIO of sustainable investing at Blackrock. As a big believer in ..."
